DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
HAPPY BURRITO,211,EAST 14 STREET,Manhattan,10003,211 east 14 STREET Manhattan 10003,"211 east 14th street manhattan, ny 10003",Mexican,10/20/22,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,10,A,10/20/22,12/4/23,40.7330851,-73.986678
PONCHE TAQUERIA,420,WEST 49 STREET,Manhattan,10019,420 WEST 49 STREET Manhattan 10019,"420 west 49th street manhattan, ny 10019",Mexican,10/3/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,10/3/23,12/4/23,40.7631928,-73.990246
SOL MAYA RESTAURANT,2061,2 AVENUE,Manhattan,10029,2061 2 avenue Manhattan 10029,"2061 2nd avenue manhattan, ny 10029",Mexican,3/16/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,3/16/22,12/4/23,40.790522,-73.942518
LA PILITA DELI GROCERY,3866,10 AVENUE,Manhattan,10034,3866 10 avenue Manhattan 10034,"3866 10th avenue manhattan, ny 10034",Mexican,4/28/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,4/28/22,12/4/23,40.864303,-73.919062
STREET TACO,2672,BROADWAY,Manhattan,10025,2672 BROADWAY Manhattan 10025,"2672 broadway manhattan, ny 10025",Mexican,8/3/22,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,13,A,8/3/22,12/4/23,40.798256,-73.969141
MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029,1779 LEXINGTON avenue Manhattan 10029,"1779 lexington avenue manhattan, ny 10029",Mexican,4/21/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,4/21/22,12/4/23,40.795016,-73.944236
RUBY'S VINTAGE HARLEM,2340,7 AVENUE,Manhattan,10030,2340 7 avenue Manhattan 10030,"2340 7th avenue manhattan, ny 10030",Mexican,6/2/22,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,6/2/22,12/4/23,40.8166439,-73.94273
MEXICO LINDO RESTAURANT,459,2 AVENUE,Manhattan,10010,459 2 avenue Manhattan 10010,"459 2nd avenue manhattan, ny 10010",Mexican,10/26/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,10/26/23,12/4/23,40.7396441,-73.979615
DOS TOROS,11,CARMINE STREET,Manhattan,10014,11 CARMINE STREET Manhattan 10014,"11 carmine street manhattan, ny 10014",Mexican,6/21/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/21/23,12/4/23,40.7304152,-74.002201
ARRIBA ARRIBA,762,9 AVENUE,Manhattan,10019,762 9 avenue Manhattan 10019,"762 9th avenue manhattan, ny 10019",Mexican,8/3/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,2,A,8/3/23,12/4/23,40.7641972,-73.988416
"TREADWELL PARK , BLACK HOUND",301,SOUTH END AVENUE,Manhattan,10280,301 SOUTH END avenue Manhattan 10280,"301 south end avenue manhattan, ny 10280",Mexican,1/20/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,1/20/23,12/4/23,40.7102263,-74.016333
787 COFFEE,66,PEARL STREET,Manhattan,10004,66 PEARL STREET Manhattan 10004,"66 pearl street manhattan, ny 10004",Mexican,3/7/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,10,A,3/7/23,12/4/23,40.7036038,-74.010932
TACO MIX,234,EAST 116 STREET,Manhattan,10029,234 east 116 STREET Manhattan 10029,"234 east 116th street manhattan, ny 10029",Mexican,9/11/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,9/11/23,12/4/23,40.7975633,-73.939145
ROSIE'S,29,EAST 2 STREET,Manhattan,10003,29 east 2 STREET Manhattan 10003,"29 east 2nd street manhattan, ny 10003",Mexican,4/3/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10,A,4/3/23,12/4/23,40.7251641,-73.990944
TAQUERIA NIXTAMAL,115,DELANCEY STREET,Manhattan,10002,115 DELANCEY STREET Manhattan 10002,"115 delancey street manhattan, ny 10002",Mexican,10/26/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,10,A,10/26/22,12/4/23,40.7185023,-73.988085
TAQUERIA SANTA FE,2248,1 AVENUE,Manhattan,10029,2248 1 avenue Manhattan 10029,"2248 1st avenue manhattan, ny 10029",Mexican,9/20/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,9/20/23,12/4/23,40.7956483,-73.935651
TAQUERIA ST MARKS PL,79,SAINT MARKS PLACE,Manhattan,10003,79 SAINT MARKS PLACE Manhattan 10003,"79 saint marks place manhattan, ny 10003",Mexican,3/8/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,3/8/23,12/4/23,40.7278068,-73.985792
DELICIAS MEXICANAS,2109,3 AVENUE,Manhattan,10029,2109 3 avenue Manhattan 10029,"2109 3rd avenue manhattan, ny 10029",Mexican,2/17/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2/17/23,12/4/23,40.7975283,-73.940308
DOS TOROS TAQUERIA,285,MADISON AVENUE,Manhattan,10017,285 MADISON avenue Manhattan 10017,"285 madison avenue manhattan, ny 10017",Mexican,4/29/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,4/29/22,12/4/23,40.7517485,-73.980037
LA LOTERIA,29,7 AVENUE SOUTH,Manhattan,10014,29 7 avenue SOUTH Manhattan 10014,"29 7th avenue south manhattan, ny 10014",Mexican,4/12/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/12/23,12/4/23,40.7308049,-74.004395
EL COCO,202,8 AVENUE,Manhattan,10011,202 8 avenue Manhattan 10011,"202 8th avenue manhattan, ny 10011",Mexican,5/25/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,5/25/22,12/4/23,40.7436038,-73.999697
MAYA,1191,1 AVENUE,Manhattan,10065,1191 1 avenue Manhattan 10065,"1191 1st avenue manhattan, ny 10065",Mexican,1/11/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,1/11/22,12/4/23,40.7630515,-73.959479
FRIJOLITO'S RESTAURANT,3446,BROADWAY,Manhattan,10031,3446 BROADWAY Manhattan 10031,"3446 broadway manhattan, ny 10031",Mexican,6/7/22,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,6/7/22,12/4/23,40.8235102,-73.952563
Eva's x Cinco De Mayo,113,EAST 31 STREET,Manhattan,10016,113 east 31 STREET Manhattan 10016,"113 east 31st street manhattan, ny 10016",Mexican,3/30/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,3/30/22,12/4/23,40.7448842,-73.982013
345 Cantina,345,EAST 6 STREET,Manhattan,10003,345 east 6 STREET Manhattan 10003,"345 east 6th street manhattan, ny 10003",Mexican,1/21/23,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,22,B,1/21/23,12/4/23,40.7269369,-73.98743
CILANTRO,485,COLUMBUS AVENUE,Manhattan,10024,485 COLUMBUS avenue Manhattan 10024,"485 columbus avenue manhattan, ny 10024",Mexican,2/17/22,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4,A,2/17/22,12/4/23,40.7847694,-73.973412
BREAKROOM,83,BAXTER STREET,Manhattan,10013,83 BAXTER STREET Manhattan 10013,"83 baxter street manhattan, ny 10013",Mexican,12/27/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,B,12/27/22,12/4/23,40.7167134,-73.999812
EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029,1634 LEXINGTON avenue Manhattan 10029,"1634 lexington avenue manhattan, ny 10029",Mexican,5/3/23,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,26,B,5/3/23,12/4/23,40.7904065,-73.947628
MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029,1779 LEXINGTON avenue Manhattan 10029,"1779 lexington avenue manhattan, ny 10029",Mexican,4/21/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,4/21/22,12/4/23,40.795016,-73.944236
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,9/8/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,0,A,9/8/22,12/4/23,40.7180304,-73.989971
LA PLACITA TAQUERIA & CAFFE,3887,BROADWAY,Manhattan,10032,3887 BROADWAY Manhattan 10032,"3887 broadway manhattan, ny 10032",Mexican,8/2/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,8/2/22,12/4/23,40.8374434,-73.942412
TACUBA,802,9 AVENUE,Manhattan,10019,802 9 avenue Manhattan 10019,"802 9th avenue manhattan, ny 10019",Mexican,6/9/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,6/9/22,12/4/23,40.7654954,-73.987466
LUPITA RESTAURANT,2049,2 AVENUE,Manhattan,10029,2049 2 avenue Manhattan 10029,"2049 2nd avenue manhattan, ny 10029",Mexican,9/27/22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9,A,9/27/22,12/4/23,40.7901681,-73.942774
PICANTE MEXICAN BAR AND GRILL RESTAURANT,3424,BROADWAY,Manhattan,10031,3424 BROADWAY Manhattan 10031,"3424 broadway manhattan, ny 10031",Mexican,3/8/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,3/8/22,12/4/23,40.8228243,-73.953069
Buena Onda,1446,1 AVENUE,Manhattan,10021,1446 1 avenue Manhattan 10021,"1446 1st avenue manhattan, ny 10021",Mexican,10/26/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,10/26/23,12/4/23,40.7698923,-73.954457
MI CASITA RESTARANT,1484,AMSTERDAM AVENUE,Manhattan,10031,1484 AMSTERDAM avenue Manhattan 10031,"1484 amsterdam avenue manhattan, ny 10031",Mexican,2/7/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,9,A,2/7/23,12/4/23,40.8178535,-73.953007
